LogFiles\autoLog_13_9_19_10_8_43.txt
Sample.txt
1142	1142	Start	-100	0	0
66	1208	fNext	-100	0	0
1373	1307	keypress	-10	32	1
1373	1307	space	-2	32	1
1373	1307	fRespond	1	-1	1
1373	1307	fNext	1	1	0
2141	768	keypress	-10	32	1
2141	768	space	-2	32	1
2141	768	fRespond	10	0	1
2141	768	fNext	10	2	0
3481	1340	keypress	-10	32	1
3481	1340	space	-2	32	1
5141	3000	fTimeout	1	0	1
5141	3000	fNext	1	3	0
5834	693	keypress	-10	27	1
5834	693	Escape	-2	27	1
5834	693	fAbort	1	-1	0
5834	693	fNext	1	4	0
5834	0	End	-100	0	0
