LogFiles\autoLog_13_3_16_21_23_6.txt
3minPVT.ds
294	294	Start	-100	0	0
84	378	fNext	-100	0	0
9254	9170	keypress	-10	32	1
9254	9170	space	-2	32	1
9254	9170	fRespond	1	-1	1
9257	9173	fNext	1	1	0
15775	6518	fTimeout	1	-1	0
15792	6535	fNext	1	2	0
16155	363	keypress	-10	32	1
16155	363	space	-2	32	1
16155	363	fRespond	10	1	1
16158	366	fNext	10	3	0
17159	1001	fTimeout	11	-1	0
17176	1018	fNext	11	4	0
24427	7251	fTimeout	1	-1	0
24443	7267	fNext	1	5	0
24806	363	keypress	-10	32	1
24806	363	space	-2	32	1
24806	363	fRespond	10	1	1
24810	367	fNext	10	6	0
25827	1017	fTimeout	11	-1	0
25843	1033	fNext	11	7	0
33161	7318	fTimeout	1	-1	0
33177	7334	fNext	1	8	0
33474	297	keypress	-10	32	1
33474	297	space	-2	32	1
33474	297	fRespond	10	1	1
33477	300	fNext	10	9	0
34494	1017	fTimeout	11	-1	0
34511	1034	fNext	11	10	0
39579	5068	fTimeout	1	-1	0
39595	5084	fNext	1	11	0
39894	299	keypress	-10	32	1
39894	299	space	-2	32	1
39894	299	fRespond	10	1	1
39895	300	fNext	10	12	0
40912	1017	fTimeout	11	-1	0
40928	1033	fNext	11	13	0
43162	2234	fTimeout	1	-1	0
43179	2251	fNext	1	14	0
43526	347	keypress	-10	32	1
43526	347	space	-2	32	1
43526	347	fRespond	10	1	1
43529	350	fNext	10	15	0
43542	13	keypress	-10	98	1
44545	1016	fTimeout	11	-1	0
44562	1033	fNext	11	16	0
48947	4385	fTimeout	1	-1	0
48964	4402	fNext	1	17	0
49277	313	keypress	-10	32	1
49277	313	space	-2	32	1
49277	313	fRespond	10	1	1
49280	316	fNext	10	18	0
50297	1017	fTimeout	11	-1	0
50313	1033	fNext	11	19	0
57981	7668	fTimeout	1	-1	0
57998	7685	fNext	1	20	0
58278	280	keypress	-10	32	1
58278	280	space	-2	32	1
58278	280	fRespond	10	1	1
58281	283	fNext	10	21	0
59282	1001	fTimeout	11	-1	0
59298	1017	fNext	11	22	0
67033	7735	fTimeout	1	-1	0
67049	7751	fNext	1	23	0
67330	281	keypress	-10	32	1
67330	281	space	-2	32	1
67330	281	fRespond	10	1	1
67332	283	fNext	10	24	0
68349	1017	fTimeout	11	-1	0
68366	1034	fNext	11	25	0
76133	7767	fTimeout	1	-1	0
76150	7784	fNext	1	26	0
76497	347	keypress	-10	32	1
76497	347	space	-2	32	1
76497	347	fRespond	10	1	1
76500	350	fNext	10	27	0
77501	1001	fTimeout	11	-1	0
77517	1017	fNext	11	28	0
85185	7668	fTimeout	1	-1	0
85202	7685	fNext	1	29	0
85515	313	keypress	-10	32	1
85515	313	space	-2	32	1
85515	313	fRespond	10	1	1
85518	316	fNext	10	30	0
86535	1017	fTimeout	11	-1	0
86551	1033	fNext	11	31	0
90435	3884	fTimeout	1	-1	0
90452	3901	fNext	1	32	0
90816	364	keypress	-10	32	1
90816	364	space	-2	32	1
90816	364	fRespond	10	1	1
90820	368	fNext	10	33	0
91836	1016	fTimeout	11	-1	0
91853	1033	fNext	11	34	0
98273	6420	fTimeout	1	-1	0
98287	6434	fNext	1	35	0
98583	296	keypress	-10	32	1
98583	296	space	-2	32	1
98583	296	fRespond	10	1	1
98587	300	fNext	10	36	0
99603	1016	fTimeout	11	-1	0
99620	1033	fNext	11	37	0
103004	3384	fTimeout	1	-1	0
103021	3401	fNext	1	38	0
103351	330	keypress	-10	32	1
103351	330	space	-2	32	1
103351	330	fRespond	10	1	1
103354	333	fNext	10	39	0
104370	1016	fTimeout	11	-1	0
104404	1050	fNext	11	40	0
111739	7335	fTimeout	1	-1	0
111756	7352	fNext	1	41	0
112052	296	keypress	-10	32	1
112052	296	space	-2	32	1
112052	296	fRespond	10	1	1
112056	300	fNext	10	42	0
113072	1016	fTimeout	11	-1	0
113089	1033	fNext	11	43	0
119440	6351	fTimeout	1	-1	0
119457	6368	fNext	1	44	0
119803	346	keypress	-10	32	1
119803	346	space	-2	32	1
119803	346	fRespond	10	1	1
119807	350	fNext	10	45	0
120823	1016	fTimeout	11	-1	0
120840	1033	fNext	11	46	0
128524	7684	fTimeout	1	-1	0
128541	7701	fNext	1	47	0
128839	298	keypress	-10	32	1
128839	298	space	-2	32	1
128839	298	fRespond	10	1	1
128843	302	fNext	10	48	0
129861	1018	fTimeout	11	-1	0
129875	1032	fNext	11	49	0
135125	5250	fTimeout	1	-1	0
135142	5267	fNext	1	50	0
135425	283	keypress	-10	32	1
135425	283	space	-2	32	1
135425	283	fRespond	10	1	1
135425	283	fNext	10	51	0
136426	1001	fTimeout	11	-1	0
136442	1017	fNext	11	52	0
143243	6801	fTimeout	1	-1	0
143260	6818	fNext	1	53	0
143573	313	keypress	-10	32	1
143573	313	space	-2	32	1
143573	313	fRespond	10	1	1
143577	317	fNext	10	54	0
144593	1016	fTimeout	11	-1	0
144610	1033	fNext	11	55	0
152094	7484	fTimeout	1	-1	0
152111	7501	fNext	1	56	0
152409	298	keypress	-10	32	1
152409	298	space	-2	32	1
152409	298	fRespond	10	1	1
152411	300	fNext	10	57	0
153427	1016	fTimeout	11	-1	0
153444	1033	fNext	11	58	0
158878	5434	fTimeout	1	-1	0
158895	5451	fNext	1	59	0
159242	347	keypress	-10	32	1
159242	347	space	-2	32	1
159242	347	fRespond	10	1	1
159245	350	fNext	10	60	0
160262	1017	fTimeout	11	-1	0
160278	1033	fNext	11	61	0
166346	6068	fTimeout	1	-1	0
166363	6085	fNext	1	62	0
166693	330	keypress	-10	32	1
166693	330	space	-2	32	1
166693	330	fRespond	10	1	1
166696	333	fNext	10	63	0
167713	1017	fTimeout	11	-1	0
167729	1033	fNext	11	64	0
173683	5953	fTimeout	1	-1	0
173697	5967	fNext	1	65	0
174029	332	keypress	-10	32	1
174029	332	space	-2	32	1
174029	332	fRespond	10	1	1
174030	333	fNext	10	66	0
175031	1001	fTimeout	11	-1	0
175048	1018	fNext	11	67	0
178197	3149	fTimeout	1	-1	0
178214	3166	fNext	1	68	0
178861	647	keypress	-10	32	1
178861	647	space	-2	32	1
178861	647	fRespond	10	1	1
178865	651	fNext	10	69	0
179881	1016	fTimeout	11	-1	0
179898	1033	fNext	11	70	0
185148	5250	fTimeout	1	-1	0
185165	5267	fNext	1	71	0
185479	314	keypress	-10	32	1
185479	314	space	-2	32	1
185479	314	fRespond	10	1	1
185483	318	fNext	10	72	0
186499	1016	fTimeout	11	-1	0
186516	1033	fNext	11	73	0
192166	5650	fTimeout	1	-1	0
192183	5667	fNext	1	74	0
192496	313	keypress	-10	32	1
192496	313	space	-2	32	1
192496	313	fRespond	10	1	1
192500	317	fNext	10	75	0
193517	1017	fTimeout	11	-1	0
193533	1033	fNext	11	76	0
195750	2217	fTimeout	1	-1	0
195767	2234	fNext	1	77	0
196131	364	keypress	-10	32	1
196131	364	space	-2	32	1
196131	364	fRespond	10	1	1
196135	368	fNext	10	78	0
197151	1016	fTimeout	11	-1	0
197167	1032	fNext	11	79	0
203768	6601	fTimeout	1	-1	0
203785	6618	fNext	1	80	0
204081	296	keypress	-10	32	1
204081	296	space	-2	32	1
204081	296	fRespond	10	1	1
204085	300	fNext	10	81	0
205101	1016	fTimeout	11	-1	0
205118	1033	fNext	11	82	0
210686	5568	fTimeout	1	-1	0
210703	5585	fNext	1	83	0
210999	296	keypress	-10	32	1
210999	296	space	-2	32	1
210999	296	fRespond	10	1	1
211003	300	fNext	10	84	0
212019	1016	fTimeout	11	-1	0
212036	1033	fNext	11	85	0
214586	2550	fTimeout	1	-1	0
214603	2567	fNext	1	86	0
214968	365	keypress	-10	32	1
214968	365	space	-2	32	1
214968	365	fRespond	10	1	1
214970	367	fNext	10	87	0
215986	1016	fTimeout	11	-1	0
216003	1033	fNext	11	88	0
223622	7619	fTimeout	1	-1	0
223637	7634	fNext	1	89	0
223934	297	keypress	-10	32	1
223934	297	space	-2	32	1
223934	297	fRespond	10	1	1
223938	301	fNext	10	90	0
224955	1017	fTimeout	11	-1	0
224971	1033	fNext	11	91	0
228488	3517	fTimeout	1	-1	0
228505	3534	fNext	1	92	0
228935	430	keypress	-10	32	1
228935	430	space	-2	32	1
228935	430	fRespond	10	1	1
228938	433	fNext	10	93	0
229955	1017	fTimeout	11	-1	0
229972	1034	fNext	11	94	0
233039	3067	fTimeout	1	-1	0
233055	3083	fNext	1	95	0
233369	314	keypress	-10	32	1
233369	314	space	-2	32	1
233369	314	fRespond	10	1	1
233372	317	fNext	10	96	0
234373	1001	fTimeout	11	-1	0
234390	1018	fNext	11	97	0
237169	2779	keypress	-10	32	1
237169	2779	space	-2	32	1
237169	2779	fRespond	1	-1	1
237173	2783	fNext	1	98	0
237173	0	End	-100	0	0
